time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d402_blower_fan_motor_current,d402_blower_fan_motor_dc_bus_voltage,d402_blower_fan_motor_power,d402_blower_fan_motor_speed,d402_blower_fan_motor_torque_percent,d402_blower_fan_speed_pct,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-03-02 09:30:00,0.0000,4200.0000,,,81.8182,-0.0000,0.0000,283.5779,26.9580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1365,23.3795,15.6685,11.0979,63.3312,23.0125,-1.8270,22.6988,0.0000,22.1641,-0.2798,24.8708,69.4402,22.4601,-0.3359,49.9188,22.6020,47.7173,22.8835,48.7741,22.5817,22.3132,0.0028,28.0774,0.0000,0.0000,0.0000,281.5095,0.0000,0.0000,0.0000,0.0000,28.7512,0.0344,54.1080,19.1773,-81.3977,2.3227,23.3313,102.4192,31.0000,32.5000,31.1953,0.4531,0.3897,0.1254,0.0681,0.1942,0.1475,0.5634,0.5164,0.7169,0.6573,1.0208,0.9561,0.2724,0.2057,0.8420,0.5127,20.4594,19.5912,22.5265,22.9240,22.7493,23.0448,22.6851,22.8998,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:31:00,0.0167,4200.0000,0.0000,0.0000,81.8182,-0.0000,0.0000,290.7200,27.4230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1187,23.3447,15.6818,11.1073,63.5117,22.9796,-1.6526,22.6553,0.0000,22.1641,-0.3359,24.8659,69.5329,22.4475,-0.3359,49.9191,22.6072,47.7073,22.8822,48.7790,22.5766,22.3188,0.0094,28.0638,0.0000,0.0000,0.0000,289.6070,0.0000,0.0000,0.0000,0.0000,28.7615,0.0946,63.6816,22.5554,-81.5654,2.8038,23.3806,102.4173,31.0000,32.5000,31.1953,0.4537,0.3920,0.1265,0.0683,0.1918,0.1470,0.5621,0.5143,0.7131,0.6534,1.0219,0.9557,0.2736,0.2083,0.8273,0.5178,20.1266,19.1277,22.4888,22.8807,22.6929,23.0040,22.7216,22.8908,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:32:00,0.0333,4200.0000,0.0000,0.0000,81.8182,0.0000,1.1650,286.5923,28.7169,75.8333,19.1444,20.8000,25.6804,60.6172,60.6172,60.6172,4.0098,21.0374,14.7582,10.4766,63.3162,22.0547,-21.8828,23.0904,90.0000,22.0792,-0.3359,24.6448,67.5917,22.3887,-0.3359,49.9102,22.6102,47.6712,22.8434,48.8680,22.4489,22.2425,0.0073,28.0565,73.2372,29.8667,0.6605,291.7776,0.0000,989.4833,11.0333,28.2333,28.7698,0.0446,63.5395,22.5574,-81.5280,2.2110,23.9589,102.4094,31.3333,32.5000,31.1953,4.1557,1.3577,18.1020,10.7348,19.2052,11.2908,17.7244,10.2636,4.6058,1.5629,5.2235,1.7704,1.6877,0.6930,18.8688,11.4690,19.7329,18.3470,21.6774,22.9292,22.6828,24.6431,22.7611,22.9942,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:33:00,0.0500,4200.0000,0.0000,0.0000,81.8182,43.0986,1.3657,284.2710,29.8556,85.8333,24.0246,24.0000,25.7863,74.9922,74.9922,74.9922,3.5414,20.6767,12.9620,9.2914,62.8900,20.2660,-30.5113,33.4392,100.0000,22.0682,-0.3359,24.6075,66.6387,22.3273,-0.3359,49.8815,22.6007,48.2717,22.4543,49.4481,22.1391,22.2399,0.0094,28.0323,100.0000,32.0000,0.7188,292.4272,0.0000,1121.0000,11.0000,32.0000,28.7715,0.0961,62.9273,22.5622,-81.8819,1.8656,35.1193,102.4083,31.1667,32.5000,31.5286,4.7347,1.5086,21.3535,13.1432,22.6697,13.8289,20.7345,12.4874,6.1326,1.7488,8.4902,2.8101,1.7959,0.7301,20.7942,14.4048,18.4576,16.9805,21.0127,22.8175,22.4122,46.0084,22.6982,23.0731,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:34:00,0.0667,4200.0000,0.0000,0.0000,81.8182,9.9294,1.3604,284.5193,30.4539,73.3333,24.0277,24.0000,24.1040,74.9922,74.9922,74.9922,2.7188,27.2102,14.7863,10.4910,57.1078,23.8133,-28.7608,41.9658,100.0000,22.0736,-0.3359,24.5875,66.4430,22.3303,-0.3359,49.8518,22.5758,48.6816,22.3460,49.6390,22.1306,22.2593,0.0109,28.0277,100.0000,32.0000,0.7188,292.3428,0.0000,1121.0333,11.0000,32.0000,28.7596,0.1166,62.6620,22.5756,-81.8044,1.7232,56.3074,102.4105,32.0000,32.5000,31.8620,4.7003,1.5013,21.1411,13.1177,22.3791,13.7847,20.5947,12.4554,6.3043,2.0165,6.2810,2.0521,1.8200,0.7300,20.6465,14.2475,17.8077,15.8823,24.5218,22.8769,22.4627,75.9825,22.8035,23.0953,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:35:00,0.0833,4200.0000,0.0000,0.0000,81.8182,5.7388,0.7987,287.7772,30.3574,22.5000,-2.1602,-5.6000,13.9912,74.9922,74.9922,74.9922,2.6680,35.0500,18.0914,12.9991,47.2891,30.6486,-26.0546,50.8763,100.0000,22.0737,-0.3359,24.5908,66.2985,22.3571,-0.3359,49.8524,22.5497,48.5258,22.4876,49.5026,22.2303,22.2393,0.0109,28.0266,100.0000,32.0000,0.7188,290.7282,0.0000,1121.0000,11.0000,32.0000,28.7613,0.0549,62.8219,22.5840,-81.9186,1.8451,76.5023,102.4137,32.0000,32.5000,32.1953,3.0488,1.0386,21.0523,13.1078,22.3137,13.7730,20.5684,12.4610,5.6016,1.8901,5.1812,1.7848,1.8418,0.7312,20.4257,14.1281,17.5566,15.2973,30.1514,22.9612,22.5517,100.2922,22.8406,23.0067,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:36:00,0.1000,4200.0000,0.0000,0.0000,81.8182,4.2196,1.3660,286.0641,30.9600,89.1667,-24.0355,-24.0000,27.1901,74.9922,74.9922,74.9922,2.6477,38.3426,20.1737,14.8310,39.0008,36.3696,-22.5852,59.0858,100.0000,22.0738,-0.3359,24.6107,66.1877,22.3924,-0.3359,49.8622,22.5205,48.3298,22.6232,49.4402,22.2713,22.2481,0.0088,28.0513,100.0000,32.0000,0.7188,289.2797,0.0000,1121.0167,11.0000,32.0000,28.7596,0.0344,63.0284,22.5938,-82.3231,1.8656,93.7911,102.4118,32.0000,32.5000,32.1953,4.6869,1.5058,21.0556,13.0988,22.4034,13.7785,20.6374,12.4480,5.8289,1.7809,6.1179,2.0599,1.8087,0.7323,20.3050,14.0537,16.4971,14.5007,35.3529,22.9663,22.6515,119.6207,22.8311,22.8669,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:37:00,0.1167,4200.0000,0.0000,0.0000,81.8182,3.4976,1.3608,288.7861,31.4374,75.8333,-24.0348,-24.0000,25.0766,74.9922,74.9922,74.9922,2.6274,41.8970,22.4753,17.1422,35.5503,40.6766,-22.7173,66.7197,100.0000,22.1176,-0.3359,24.6278,66.0756,22.4444,-0.3359,49.8742,22.4924,47.8795,22.8883,49.2503,22.4014,22.2788,0.0073,28.0555,100.0000,32.0000,0.7188,289.4870,0.0000,1121.0167,11.0000,32.0000,28.7596,0.0755,63.1364,22.6094,-82.3620,1.9469,107.2255,102.4173,32.0000,32.5000,32.1953,4.6700,1.4984,21.2285,13.1253,22.5275,13.8019,20.6507,12.4674,6.0939,1.9099,7.6333,2.2565,1.8129,0.7324,20.2816,14.0323,15.9899,13.8306,39.4117,23.0580,22.8602,133.3495,22.9479,22.8027,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:38:00,0.1333,4200.0000,0.0000,0.0000,81.8182,3.0664,1.0248,292.1246,31.6798,36.6667,-17.1387,-15.2000,18.6036,74.9922,74.9922,74.9922,2.8305,45.9853,25.2859,20.4062,32.7220,45.4984,-22.9008,73.5786,100.0000,22.1340,-0.3359,24.6582,65.9970,22.4736,-0.3359,49.8943,22.4703,47.5244,23.0484,49.2870,22.3421,22.2728,0.0125,28.0652,100.0000,32.0000,0.7188,289.8391,0.0000,1121.0000,11.0000,32.0000,28.7563,0.0241,63.3585,22.6197,-82.4799,1.9163,118.1281,102.4165,32.0000,32.5000,32.3620,3.6580,1.2141,21.1622,13.1293,22.4800,13.8073,20.6628,12.4767,5.7114,1.7426,6.4482,2.0264,1.8145,0.7314,20.2366,14.0251,15.6640,13.5493,43.4128,23.0822,22.9531,144.8806,22.8082,22.8363,0.0876,2.0999,0.1146,0.8697,0.0451,
2026-03-02 09:39:00,0.1500,4200.0000,0.0000,0.0000,81.8182,2.7720,1.1276,290.8605,31.4786,30.8333,18.8902,20.8000,18.6012,74.9922,74.9922,74.9922,2.6172,53.1287,28.9634,25.4607,28.6597,52.4280,-24.3859,80.2298,100.0000,22.2106,-0.3359,24.6649,65.9271,22.5070,-0.3359,49.9073,22.4542,47.1796,23.2228,49.2236,22.3996,22.2811,0.0120,28.0822,100.0000,32.0000,0.7188,290.1261,0.0000,1121.0667,11.0000,32.0000,28.7495,-0.0273,63.8557,22.6405,-82.7383,1.9977,127.6256,102.4190,32.0000,32.5000,32.5286,4.0642,1.3218,21.1391,13.1156,22.5209,13.8102,20.7556,12.4838,4.9331,1.4311,6.5506,1.9313,1.8078,0.7315,20.1838,14.0199,15.4293,13.4716,48.3504,23.1696,23.0647,154.7493,22.8292,22.8315,0.0876,2.0999,0.1146,0.8697,0.0451,
