time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,condenser_out__airflow,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-04-07 14:18:00,0.0000,4711.7857,,,81.8182,0.0000,0.0000,292.0127,23.6272,0.0000,0.0000,0.0000,0.0000,50.9148,50.9148,50.9148,4.3354,36.4859,21.6529,16.2649,100.0000,21.6529,-2.9461,23.8374,68.3333,-181.3665,-0.3359,22.0911,63.4736,20.5565,-0.3359,46.5178,21.3441,45.8980,20.8408,46.0602,20.8922,20.7904,0.0094,28.2898,0.0000,33.2128,-0.0891,67.1247,20.8160,-113.5956,1.7129,44.0132,102.3976,31.6667,35.6667,30.1953,12.5199,1.1487,0.5068,12.9948,8.1635,40.8830,25.5873,3.1466,1.0780,3.6033,1.0702,0.7024,0.2536,0.3105,0.2439,0.5505,0.4843,21.2575,20.9352,21.3863,21.5764,20.9222,21.6539,21.3454,21.9130,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:19:00,0.0167,4719.1071,7.3214,7.3214,81.8152,0.0000,0.0000,288.4959,23.9039,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.7242,35.1210,21.6106,16.2218,100.0000,21.6107,-3.6269,40.6975,100.0000,-181.4049,-0.3256,22.3540,62.3411,20.5663,-0.3359,46.5323,21.3160,45.8267,20.9499,46.4276,20.6414,20.8454,0.0114,28.2210,0.0000,34.9922,0.0138,66.5378,20.8090,-65.3842,1.8046,43.6633,102.3952,31.0000,34.6667,30.1953,12.3967,1.2633,0.5157,20.8905,14.2058,65.5823,44.3988,4.9778,1.4568,5.2896,1.5944,0.7521,0.2546,0.3112,0.2445,0.5509,0.4831,21.4664,21.2890,21.7233,21.7029,21.3302,21.8523,21.5520,22.3247,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:20:00,0.0333,4714.3636,-4.7435,1.2890,81.8171,0.0000,0.0000,289.6725,24.2698,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.4094,35.4633,21.5620,16.1723,100.0000,21.5620,-3.8099,56.5294,100.0000,-181.4103,-0.3359,22.5482,61.4656,20.6136,-0.3359,46.5564,21.2853,45.7012,21.0200,46.5682,20.6560,20.8382,0.0083,28.1396,0.0000,34.9922,-0.0171,66.0340,20.8085,-40.7957,1.8758,43.5448,102.3941,31.0000,34.3333,30.1953,12.1498,1.2179,0.5086,20.8426,14.1743,65.2093,44.2626,5.1328,1.6718,5.9364,1.7090,0.7695,0.2578,0.3166,0.2501,0.5503,0.4826,21.3447,21.3065,21.6531,21.6267,21.2263,21.8227,21.3935,22.0074,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:21:00,0.0500,4716.2500,1.8864,1.4881,81.8163,0.0000,0.0000,291.1287,24.6256,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.4398,35.9031,21.5678,16.1782,100.0000,21.5678,-3.8198,69.4169,100.0000,-181.4137,-0.3359,22.5972,60.7834,20.6325,-0.3359,46.5896,21.2618,45.5963,21.0152,46.4210,20.7056,20.7954,0.0130,28.0439,0.0000,34.9922,0.0241,65.5971,20.7983,-26.7132,1.8960,43.6629,102.3966,31.0000,33.6667,30.1953,12.3367,1.2906,0.5205,20.8895,14.1918,65.5985,44.3420,5.2941,1.4696,5.9248,1.6282,0.7672,0.2554,0.3126,0.2462,0.5546,0.4848,21.2251,21.6274,21.5492,21.4267,21.0705,21.8157,21.2117,21.7772,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:22:00,0.0667,4719.6429,3.3929,1.9643,81.8149,0.0000,0.0000,292.0407,25.0235,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.4398,36.4866,21.6040,16.2151,100.0000,21.6040,-3.9320,81.1902,100.0000,-181.4107,-0.3256,22.6243,60.2871,20.6471,-0.3359,46.6028,21.2445,45.6101,21.0124,46.4632,20.6647,20.7948,0.0130,27.9608,0.0000,34.9922,-0.0788,65.2046,20.7867,-14.0612,1.8757,43.5850,102.3948,31.0000,33.6667,30.1953,12.4008,1.2889,0.5224,20.8741,14.1735,65.4913,44.2690,5.2574,1.4753,5.9499,1.6355,0.7638,0.2557,0.3139,0.2474,0.5501,0.4822,21.1598,22.0743,21.4927,21.2457,20.9689,21.8018,20.9668,21.6094,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:23:00,0.0833,4715.7143,-3.9286,0.7857,81.8166,0.0000,0.0000,293.0012,25.2562,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.3687,35.6702,21.6770,16.2895,100.0000,21.6770,-3.7996,91.0896,100.0000,-181.3969,-0.3359,22.6852,59.9092,20.6458,-0.3359,46.6105,21.2288,45.5437,21.0837,46.6413,20.6715,20.8160,0.0088,27.9147,0.0000,34.9922,-0.0376,64.8544,20.7915,-10.2394,2.1094,43.9363,102.3967,31.0000,33.5000,30.5286,12.3008,1.3029,0.5268,20.8096,14.1651,65.3141,44.2475,5.0506,1.4253,5.5740,1.5598,0.7622,0.2548,0.3133,0.2467,0.5504,0.4821,21.0797,22.6239,21.4387,21.0858,20.9196,21.7031,20.8254,21.4527,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:24:00,0.1000,4719.1071,3.3929,1.2202,81.8152,0.0000,0.0000,293.7808,25.5389,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.4906,35.7396,21.7813,16.3966,100.0000,21.7811,-3.7995,100.0508,100.0000,-181.4410,-0.3256,22.6649,59.6361,20.6964,-0.3359,46.6221,21.2177,45.4268,21.1091,46.5553,20.6900,20.8228,0.0094,27.8658,0.0000,34.9922,0.0549,64.5358,20.8004,-15.0906,2.0484,43.9378,102.3972,31.0000,33.5000,31.1953,12.1126,1.2800,0.5292,20.8779,14.1752,65.2675,44.2146,5.1342,1.4967,5.7708,1.7507,0.7817,0.2592,0.3173,0.2502,0.5472,0.4797,21.0917,23.4318,21.5122,21.0531,20.8704,21.6823,20.8016,21.3538,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:25:00,0.1167,4715.3571,-3.7500,0.5102,81.8167,0.0000,0.0000,293.3126,25.9052,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.3890,36.3602,21.9067,16.5256,100.0000,21.9067,-3.7994,108.3159,100.0000,-181.4277,-0.3359,22.7326,59.4480,20.6652,-0.3359,46.6176,21.2045,45.3435,21.1133,46.5319,20.6928,20.8068,0.0078,27.8527,0.0000,34.9922,-0.0171,64.2437,20.8112,-30.5551,1.8350,43.6921,102.3953,31.0000,33.5000,31.1953,11.6664,1.3251,0.5389,20.7898,14.1649,65.3507,44.2451,4.8739,1.3559,5.1355,1.5097,0.7400,0.2530,0.3138,0.2473,0.5492,0.4811,21.0997,24.2457,21.5467,20.8857,20.7783,21.5897,20.7227,21.2323,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:26:00,0.1333,4713.2143,-2.1429,0.1786,81.8176,0.0000,0.0000,291.0162,26.2180,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.4703,36.0395,22.0568,16.6816,100.0000,22.0568,-3.7895,116.7945,100.0000,-181.4220,-0.3359,22.7360,59.1935,20.6952,-0.3359,46.6175,21.1898,45.2779,21.1413,46.3707,20.7669,20.8350,0.0135,27.8173,0.0000,34.9922,-0.0068,63.9827,20.8141,-38.2546,1.8858,43.6970,102.3910,31.0000,33.5000,31.1953,11.2855,1.3106,0.5389,20.8202,14.1573,65.1932,44.1757,5.3327,1.5363,5.9341,1.6638,0.7844,0.2583,0.3153,0.2472,0.5539,0.4839,21.1905,25.3305,21.7051,20.9352,20.7864,21.6020,20.7138,21.1855,0.0378,2.7330,0.1115,0.0334,0.0000,
2026-04-07 14:27:00,0.1500,4711.6071,-1.6071,-0.0198,81.8183,0.0000,0.0000,287.5657,26.6258,0.0000,0.0000,0.0000,0.0000,90.0000,90.0000,90.0000,3.5008,36.3298,22.2451,16.8792,100.0000,22.2451,-3.8604,124.0039,100.0000,-181.4216,-0.3359,22.7698,58.9938,20.6982,-0.3359,46.6226,21.1770,45.1337,21.2099,46.4830,20.6879,20.8387,0.0099,27.8048,0.0000,34.9922,0.0241,63.7234,20.8156,-32.0850,1.9569,43.6060,102.3864,31.0000,33.5000,31.1953,12.0899,1.2991,0.5422,20.8820,14.1497,65.4896,44.1341,4.6382,1.4356,5.5955,1.6669,0.7883,0.2630,0.3161,0.2486,0.5511,0.4851,21.2822,26.7326,21.8567,20.8893,20.8202,21.5730,20.5933,21.1302,0.0378,2.7330,0.1115,0.0334,0.0000,
