time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7
2026-04-09 10:46:00,0.0000,20.0000,,,82.7273,0.0000,295.9829,24.5905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2347,30.4615,16.2305,11.5106,99.8042,16.2611,40.2336,23.2577,0.0000,-181.5003,-0.3359,21.7952,63.4583,20.0507,-0.3359,51.0069,20.4853,50.7372,20.3324,53.4018,19.5125,20.1687,-0.0208,26.3469,0.0000,0.0000,28.7580,-0.0479,68.3630,19.9506,-20.3857,1.9772,17.7055,101.9809,31.0000,30.6667,29.1953,1.1110,0.6489,0.1371,0.0739,0.8526,0.3161,0.5641,0.5188,0.8525,0.3178,0.7002,0.3091,0.3062,0.2453,2.1566,2.0082,16.4948,15.7063,16.2180,16.4917,20.0991,17.8120,20.2435,20.8799
2026-04-09 10:47:00,0.0167,20.0000,0.0000,0.0000,82.7273,0.2549,294.4725,24.7165,2.5000,3.1947,4.8000,4.2635,10.9151,10.9151,10.9151,5.0607,31.6949,16.2278,11.5086,99.3256,16.3342,27.3728,23.2134,25.0000,-181.4591,-0.3359,21.7901,63.3147,19.9965,-0.3359,51.0047,20.4827,50.7176,20.3229,53.3995,19.4871,20.1781,-0.0250,26.3001,0.0000,0.0000,28.7444,0.0549,68.9450,19.9331,-21.2139,2.0992,17.6534,101.9765,31.0000,30.5000,29.1953,1.1766,0.6475,4.1887,2.0608,13.9858,6.5989,1.3215,0.6646,1.7756,0.5470,0.7416,0.3117,0.3156,0.2461,1.7066,1.5664,16.4163,15.6409,16.2998,16.5445,20.0404,17.6543,20.2028,20.9054
2026-04-09 10:48:00,0.0333,20.0000,0.0000,0.0000,82.7273,1.3447,282.3423,26.0672,0.0000,24.0289,24.0000,18.6342,85.0000,85.0000,85.0000,3.6126,30.7008,15.5063,10.9822,96.6042,16.0477,38.4221,30.8693,100.0000,-181.5336,-0.3359,21.7698,63.2569,20.0225,-0.3359,51.0185,20.4778,51.9911,19.7065,53.2900,19.7736,20.1664,-0.0260,26.2486,0.0000,0.0000,28.7546,0.0344,69.0686,19.9139,-22.5647,1.9164,18.1026,101.9737,31.0000,30.5000,29.1953,1.4456,0.6599,20.8729,13.7861,66.7011,43.4336,4.8769,1.4486,5.1649,1.5569,0.8586,0.3149,0.3550,0.2475,1.7417,1.5763,16.4395,14.4819,16.4068,19.0559,19.7286,18.4621,20.9741,21.5818
2026-04-09 10:49:00,0.0500,20.0000,0.0000,0.0000,82.7273,1.3439,286.5683,27.1445,0.0000,24.0305,24.0000,17.7363,85.0000,85.0000,85.0000,3.1453,30.8612,15.8385,11.2218,98.8478,16.0203,38.9618,47.7802,100.0000,-181.5004,-0.3359,21.8206,63.0934,20.1452,-0.3359,51.0831,20.4735,52.6864,19.7212,52.6996,20.0828,20.1734,-0.0229,26.2618,0.0000,0.0000,28.7376,0.0241,69.2135,19.9177,-23.9957,1.9367,18.9806,101.9759,31.0000,30.5000,29.1953,1.4437,0.6625,20.8990,13.7478,67.6275,43.4462,4.8832,1.4510,5.7313,1.5693,0.8973,0.3201,0.3445,0.2483,1.7461,1.5825,16.0217,14.0794,16.3690,20.1643,19.9543,19.2006,20.8306,21.3061
2026-04-09 10:50:00,0.0667,20.0000,0.0000,0.0000,82.7273,1.2110,287.0002,27.7294,0.0000,20.8559,19.2000,16.6552,85.0000,85.0000,85.0000,3.2570,31.2707,16.1789,11.4720,98.7448,16.3782,33.7109,62.2647,100.0000,-181.5445,-0.3359,21.8629,62.8874,20.2022,-0.3359,51.1187,20.4770,52.6820,19.7911,52.3188,20.1956,20.1664,-0.0224,26.2970,0.0000,0.0000,28.7613,-0.0068,69.3436,19.9513,-25.3583,2.1397,19.5193,101.9759,31.0000,30.6667,29.1953,1.4468,0.6646,20.9609,13.7544,67.2629,43.2946,5.3197,1.5062,6.0534,1.7316,0.9092,0.3212,0.3412,0.2471,1.7655,1.5978,15.6783,13.6585,16.5423,20.1065,19.8427,19.5153,20.6009,21.0255
2026-04-09 10:51:00,0.0833,20.0000,0.0000,0.0000,82.7273,0.9291,286.3376,27.6741,10.8333,-15.1680,-16.8000,14.2965,85.0000,85.0000,85.0000,3.3789,31.4206,16.6663,11.8403,99.4008,16.7612,27.9832,74.2212,100.0000,-181.5191,-0.3359,21.9086,62.8214,20.2070,-0.3359,51.1484,20.4798,52.6404,19.8889,52.4335,20.1469,20.1640,-0.0224,26.3241,0.0000,0.0000,28.7495,0.0961,69.4559,19.9917,-28.0036,2.1398,19.8391,101.9727,31.1667,30.6667,29.3620,1.4429,0.6729,20.8100,13.7362,66.4059,43.1762,5.5296,1.5570,6.0922,1.6517,0.8827,0.3158,0.3366,0.2472,1.7801,1.6139,15.5466,13.6416,16.8244,19.9926,19.7656,19.6025,20.3328,20.8070
2026-04-09 10:52:00,0.1000,20.0000,0.0000,0.0000,82.7273,1.3484,282.5532,28.5384,5.8333,-24.0363,-24.0000,20.0285,85.0000,85.0000,85.0000,3.8060,31.1031,16.7748,11.9235,99.8120,16.8045,26.7111,85.9345,100.0000,-181.5391,-0.3359,21.8933,62.6681,20.2879,-0.3359,51.1716,20.4871,52.5540,19.9375,52.1520,20.2600,20.1992,-0.0224,26.3576,0.0000,0.0000,28.7427,0.0549,69.5307,20.0491,-29.5743,2.1602,20.0284,101.9702,31.1667,30.6667,30.0286,1.4700,0.6772,20.8863,13.7405,67.6056,43.3938,5.2753,1.4635,6.1708,1.6461,0.9038,0.3189,0.3470,0.2447,1.7854,1.6167,15.2215,14.1589,16.8068,20.0030,19.6652,19.7002,20.2660,20.6715
2026-04-09 10:53:00,0.1167,20.0000,0.0000,0.0000,82.7273,1.3520,282.3486,29.0982,10.8333,-24.0351,-24.0000,20.6523,85.0000,85.0000,85.0000,3.6430,31.4452,17.0307,12.1224,100.0000,17.0307,27.1180,95.2695,100.0000,-181.5501,-0.3359,21.9238,62.6507,20.2660,-0.3359,51.1771,20.4937,52.4898,19.9702,52.2187,20.1579,20.2015,-0.0239,26.4065,0.0000,0.0000,28.7546,0.0961,69.5945,20.0973,-25.0146,1.9266,20.1588,101.9710,31.1667,31.0000,30.1953,1.4427,0.6788,20.8089,13.7304,66.4473,43.2459,5.7662,1.6026,6.4295,1.6610,0.8720,0.3168,0.3447,0.2457,1.7967,1.6254,15.0435,14.0866,17.0261,19.8848,19.5881,19.7282,20.0057,20.6006
2026-04-09 10:54:00,0.1333,20.0000,0.0000,0.0000,82.7273,0.7977,288.3850,29.1358,4.1667,-5.8109,-2.4000,12.8193,85.0000,85.0000,85.0000,3.4703,31.3193,17.3410,12.3677,100.0000,17.3403,26.3139,104.2453,100.0000,-181.5277,-0.3359,21.9340,62.4631,20.2956,-0.3359,51.1904,20.5001,52.4651,20.0178,52.2053,20.2240,20.2132,-0.0234,26.4264,0.0000,0.0000,28.7529,0.0241,69.6425,20.1359,-26.8559,1.7944,20.2484,101.9698,31.1667,31.1667,30.1953,1.4968,0.6906,20.7881,13.7268,66.1232,43.0865,5.0079,1.4701,5.0582,1.4867,0.8453,0.3139,0.3298,0.2476,1.7828,1.6268,15.0091,14.4867,17.3369,19.9362,19.5807,19.7784,20.1801,20.5498
2026-04-09 10:55:00,0.1500,20.0000,0.0000,0.0000,82.7273,1.3490,285.9064,29.6206,3.3333,24.0289,24.0000,20.2717,85.0000,85.0000,85.0000,3.1961,31.4831,17.4006,12.4148,99.5118,17.4784,32.7043,113.6341,100.0000,-181.5530,-0.3359,21.9204,62.3579,20.3438,-0.3359,51.2012,20.5093,52.3485,20.0850,51.9492,20.3263,20.2367,-0.0213,26.4593,0.0000,0.0000,28.7563,0.0035,69.6880,20.1798,-27.0247,1.7639,20.3458,101.9699,31.6667,31.3333,30.1953,1.4891,0.6929,20.8586,13.7201,67.6645,43.3059,5.5303,1.4909,6.1278,1.6307,0.9049,0.3189,0.3483,0.2459,1.7888,1.6238,14.9887,14.3454,17.2974,19.9416,19.6364,19.8637,20.1619,20.5049
2026-04-09 10:56:00,0.1667,20.0000,0.0000,0.0000,82.7273,1.3455,282.7610,30.1111,0.0000,24.0258,24.0000,19.7211,85.0000,85.0000,85.0000,3.2570,31.8533,17.8518,12.7804,99.9358,17.8620,31.0253,122.4290,100.0000,-181.5199,-0.3359,21.9221,62.3488,20.3634,-0.3359,51.2212,20.5182,52.2649,20.1139,51.8912,20.3399,20.2789,-0.0187,26.4892,0.0000,0.0000,28.7495,-0.0068,69.7236,20.2238,-27.4171,1.6727,20.3808,101.9641,31.3333,31.5000,30.1953,1.4470,0.6916,20.9105,13.7186,66.9476,43.1421,5.4944,1.5927,6.3967,1.7618,0.9100,0.3230,0.3483,0.2451,1.8036,1.6282,14.9905,14.6393,17.6490,19.8944,19.6409,19.9327,20.1481,20.5140
2026-04-09 10:57:00,0.1833,20.0000,0.0000,0.0000,82.7273,1.2221,282.7122,30.5365,0.0000,21.0221,19.2000,17.9415,85.0000,85.0000,85.0000,3.7651,31.7474,18.1715,13.0450,99.8760,18.1913,30.7711,130.5165,100.0000,-181.5059,-0.3359,21.9153,62.3337,20.3694,-0.3359,51.2339,20.5296,52.1993,20.1764,51.7639,20.3789,20.3023,-0.0224,26.5152,0.0000,0.0000,28.7546,0.0344,69.7350,20.2666,-27.7264,2.0586,20.4456,101.9595,31.6667,31.5000,30.1953,1.5123,0.7004,20.8944,13.7102,67.9236,43.3666,4.6766,1.3452,5.6437,1.5278,0.9011,0.3212,0.3439,0.2445,1.7910,1.6295,15.2469,15.2309,17.9175,19.9129,19.6886,19.9613,20.0999,20.4820
2026-04-09 10:58:00,0.2000,20.0000,0.0000,0.0000,82.7273,0.9178,283.6532,30.2464,21.6667,-14.9128,-16.8000,14.6987,85.0000,85.0000,85.0000,3.7249,32.4392,18.6558,13.4569,99.9832,18.6571,28.1363,138.0392,100.0000,-181.4979,-0.3359,21.9678,62.2439,20.3491,-0.3359,51.2454,20.5392,52.0330,20.1995,51.7712,20.3327,20.3281,-0.0234,26.5523,0.0000,0.0000,28.7563,0.0344,69.7349,20.2965,-28.6607,1.8858,20.4525,101.9590,31.5000,31.5000,30.3620,1.4721,0.7007,20.8416,13.7111,66.7597,43.1797,5.3058,1.5156,5.9712,1.6113,0.8815,0.3207,0.3267,0.2388,1.7959,1.6347,15.5425,16.0067,18.2802,19.9505,19.6191,19.9781,20.0702,20.4674
2026-04-09 10:59:00,0.2167,20.0000,0.0000,0.0000,82.7273,1.3524,286.5443,30.9509,15.8333,-24.0359,-24.0000,21.0605,85.0000,85.0000,85.0000,3.2469,32.4051,19.4950,14.1956,99.9908,19.4965,26.9958,144.8135,100.0000,-181.4921,-0.3359,21.9475,62.2595,20.3745,-0.3359,51.2484,20.5465,51.9784,20.2669,51.7711,20.3241,20.3727,-0.0213,26.5767,0.0000,0.0000,28.7563,0.0961,69.7086,20.3322,-27.9669,1.8655,20.5202,101.9594,31.8333,31.5000,31.0286,1.5235,0.7073,20.8418,13.7305,68.1013,43.4773,5.1143,1.3329,5.6208,1.5366,0.8823,0.3167,0.3461,0.2450,1.8088,1.6406,15.9268,16.9325,18.9427,19.9202,19.7114,19.9988,19.9377,20.4221
2026-04-09 11:00:00,0.2333,20.0000,0.0000,0.0000,82.7273,1.3480,287.5116,31.2952,0.8333,-24.0363,-24.0000,20.0111,85.0000,85.0000,85.0000,3.2672,32.1534,20.1213,14.7696,99.7617,20.1600,26.1309,151.0349,100.0000,-181.4971,-0.3359,21.9712,62.1715,20.3829,-0.3359,51.2618,20.5560,51.7148,20.3719,51.8424,20.2893,20.4126,-0.0234,26.6225,0.0000,0.0000,28.7478,0.0549,69.6984,20.3638,-29.1103,1.8552,20.5535,101.9590,31.6667,31.3333,31.1953,1.4896,0.7094,20.8113,13.7198,66.8984,43.2082,5.2936,1.4563,6.0488,1.5990,0.8800,0.3167,0.3461,0.2454,1.8231,1.6474,16.4713,17.8881,19.4362,19.9554,19.7539,20.0412,19.9206,20.4130
