time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,mcc134_temps__hat0_ch0,mcc134_temps__hat0_ch1,mcc134_temps__hat0_ch2,mcc134_temps__hat0_ch3,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-04-15 10:47:00,0.0000,0.0000,,,81.8182,0.0000,0.0000,291.1805,25.3779,0.0000,0.0000,0.0000,0.0000,4.4828,4.4828,4.4828,11.8115,24.1945,21.3224,15.9313,89.0338,23.2326,16.0350,36.2458,0.0000,-181.5053,-0.3215,23.5756,75.8184,21.2824,-0.3359,45.9075,21.3395,43.3657,21.5013,43.9151,21.4155,20.8639,-0.1163,26.8770,3.1240,14.2243,28.7524,0.0369,66.7938,21.1559,-37.2648,2.9094,23.8408,102.5226,30.0000,31.5000,30.1953,1.0133,0.5095,2.8616,0.9689,9.4395,3.2423,0.6151,0.5705,0.7297,0.2503,3.8363,1.4150,3.3216,1.3056,0.8745,0.7031,,,,,22.8012,-9999.0000,22.6556,22.4604,21.2970,26.3508,21.5033,21.6524,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:48:00,0.0167,0.0000,0.0000,0.0000,81.8182,693.8988,0.0000,291.7209,25.9475,0.0000,0.0000,0.0000,0.0000,52.6918,52.6918,52.6918,11.1031,27.1957,22.2838,16.9220,85.6076,24.8961,25.2150,40.6341,0.0000,-181.5039,-0.3359,23.5798,66.6820,21.2130,-0.3359,45.9100,21.3388,43.3871,21.4790,44.0031,21.4139,20.8410,-0.1194,26.8767,61.5889,32.2874,28.7563,0.0138,66.1361,21.1480,-38.0388,2.3736,31.7837,102.5156,30.3333,31.5000,30.1953,1.2016,0.5229,14.5730,8.9474,45.8821,27.9779,0.6157,0.5713,0.8088,0.2545,14.9915,9.5190,14.0219,9.1031,1.3572,1.1765,,,,,23.1438,-9999.0000,25.2048,22.7584,21.2099,42.9606,21.5284,21.6582,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:49:00,0.0333,0.0000,0.0000,0.0000,81.8182,,0.0000,298.6403,25.9763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7937,26.7586,21.2348,15.8437,76.8066,25.6118,4.9366,47.2788,28.3404,-181.4846,-0.3359,23.5977,66.7942,21.2102,-0.3359,45.9048,21.3307,43.2385,21.6353,43.9963,21.3424,20.8417,-0.1162,26.8811,0.0000,0.0000,28.7580,-0.0376,67.1109,21.1412,-38.6793,2.9830,30.7512,102.5219,30.0000,31.5000,30.1953,0.9900,0.5140,0.0690,0.0235,0.8176,0.3271,2.3036,0.7520,2.4554,0.4953,0.8339,0.3599,0.2285,0.1637,0.4458,0.3937,,,,,23.1885,-9999.0000,24.8447,22.8074,21.6882,39.3210,21.6545,21.8570,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:50:00,0.0500,0.0000,0.0000,0.0000,81.8182,,0.0000,298.5554,26.0354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8039,25.5506,21.0821,15.6916,79.4714,24.8801,4.8146,45.6949,0.0000,-181.4902,-0.3359,23.6141,69.7138,21.2504,-0.3359,45.9031,21.3230,43.0958,21.6400,44.0795,21.2984,20.8423,-0.1146,26.8858,0.0000,0.0000,28.7444,0.0446,67.4567,21.1364,-39.5245,2.7290,27.4530,102.5228,30.1667,31.6667,30.1953,0.9558,0.5128,0.0698,0.0236,0.8535,0.3417,0.6303,0.5850,0.7785,0.2730,0.7867,0.3551,0.2268,0.1625,0.4458,0.3942,,,,,23.1245,-9999.0000,23.7267,22.5933,21.4523,34.0391,21.6093,21.7052,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:51:00,0.0667,0.0000,0.0000,0.0000,81.8182,-0.0000,0.0000,298.5647,26.0959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7633,25.0976,21.0074,15.6185,81.5335,24.3750,4.9170,44.2836,0.0000,-181.5012,-0.3359,23.5940,70.4610,21.2749,-0.3359,45.9060,21.3154,43.1426,21.6110,44.1205,21.3089,20.8504,-0.1178,26.8870,0.0000,0.0000,28.7563,-0.0479,67.6253,21.1371,-40.0518,2.7290,25.8962,102.5165,30.0000,31.5000,30.1953,0.9916,0.5189,0.0693,0.0236,0.8124,0.3345,0.6310,0.5860,0.7576,0.2644,0.7758,0.3489,0.2259,0.1618,0.4464,0.3946,,,,,23.0693,-9999.0000,23.1602,22.4519,21.4600,31.9506,21.5761,21.6339,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:52:00,0.0833,0.0000,0.0000,0.0000,81.8182,-0.0000,0.0000,292.1897,25.5618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7160,24.7361,20.9788,15.5903,83.0779,24.0323,4.8287,42.7621,0.0000,-181.4840,-0.3230,23.6107,69.8212,21.2892,-0.3359,45.9043,21.3118,43.1757,21.5812,44.0871,21.3369,20.8418,-0.1178,26.9092,0.0000,0.0000,28.7613,0.0214,67.7437,21.1444,-40.4308,2.9860,25.1939,102.5192,30.0000,31.5000,30.1953,0.9839,0.5181,0.0705,0.0234,0.8166,0.3324,0.6296,0.5848,0.8008,0.2625,0.7791,0.3514,0.2264,0.1629,0.4473,0.3939,,,,,23.0728,-9999.0000,22.8638,22.3869,21.3762,31.1054,21.5754,21.6215,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:53:00,0.1000,0.0000,0.0000,0.0000,81.8182,488.1808,0.0000,293.2235,26.1429,0.0000,0.0000,0.0000,0.0000,48.4986,48.4986,48.4986,11.1131,28.2069,22.0188,16.6590,82.9496,25.1604,33.8327,41.7837,66.6667,-181.5210,-0.3359,23.5878,66.6803,21.2473,-0.3359,45.8990,21.3095,43.1648,21.6413,44.0910,21.3197,20.8009,-0.1162,26.9059,58.3313,40.7052,28.7664,0.0344,67.1751,21.1431,-40.7615,2.6886,32.5344,102.5155,30.5000,31.5000,30.3620,1.1689,0.5260,13.0320,7.9311,41.0076,24.8252,3.3101,1.0914,3.5915,1.0317,14.1402,8.8488,13.0911,8.4156,1.7359,1.4416,,,,,23.5631,-9999.0000,25.4476,22.2465,21.6411,45.1396,21.6092,21.7588,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:54:00,0.1167,7.5000,7.5000,1.0714,81.8151,261.0729,0.0000,290.4428,26.1615,0.0000,0.0000,0.0000,0.0000,85.0000,85.0000,85.0000,10.1077,36.0625,22.6480,17.3105,62.6419,30.6703,65.5387,53.0646,100.0000,-181.5297,-0.3359,23.6313,62.8710,21.0505,-0.3359,45.8905,21.2998,42.7852,21.8966,44.2762,21.2238,20.7887,-0.1182,26.9031,100.0000,50.0469,28.7512,0.0446,66.3664,21.1155,-38.3746,1.9671,48.5038,102.5139,30.5000,31.5000,31.1953,1.2756,0.5338,20.8740,13.7983,65.1537,43.0158,6.0333,1.7046,6.2297,1.7401,20.9726,14.3253,19.7893,13.7628,1.8894,1.6534,,,,,24.5469,-9999.0000,31.7186,21.9831,21.9469,68.4241,21.5530,21.8655,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:55:00,0.1333,0.0000,-7.5000,0.0000,81.8182,149.4190,0.0000,292.2975,26.3020,0.0000,0.0000,0.0000,0.0000,85.0000,85.0000,85.0000,10.0061,43.1738,23.7037,18.4893,45.9863,37.3556,42.8993,67.1354,100.0000,-181.5434,-0.3359,23.8308,62.2533,21.0006,-0.3359,45.9053,21.2887,42.3784,22.1559,44.3464,21.2331,20.8005,-0.1177,26.9513,100.0000,50.0469,28.7512,0.0344,66.1165,21.0861,-37.9087,2.3228,62.9444,102.5157,30.8333,32.0000,31.1953,1.3000,0.5349,20.9393,13.8010,65.4340,43.0074,5.5748,1.5910,6.0216,1.6980,20.7685,14.1936,19.5401,13.6354,1.8808,1.6463,,,,,25.5287,-9999.0000,37.4149,21.8734,22.0733,91.9186,21.3944,21.5214,0.0377,1.8774,0.0856,0.0905,0.6220,
2026-04-15 10:56:00,0.1500,0.0000,0.0000,0.0000,81.8182,107.1887,0.0000,293.6923,26.4912,0.0000,0.0000,0.0000,0.0000,85.0000,85.0000,85.0000,9.9757,49.4358,24.7912,19.7694,34.7800,43.7950,35.8477,79.5680,100.0000,-181.5318,-0.3359,24.0030,61.9178,20.8925,-0.3359,45.9184,21.2825,41.7787,22.4798,44.2922,21.2650,20.8105,-0.1156,26.9974,100.0000,50.0469,28.7512,0.0755,65.7150,21.0486,-40.5078,2.3125,76.0440,102.5146,30.8333,32.3333,31.1953,1.3435,0.5448,20.9959,13.7894,65.8740,43.0056,4.4667,1.2365,5.5569,1.3803,20.5262,14.0818,19.2400,13.5290,1.8768,1.6455,,,,,26.6540,-9999.0000,42.8984,21.7196,22.2054,109.9748,21.1284,21.2843,0.0377,1.8774,0.0856,0.0905,0.6220,
