time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,condenser_out__airflow,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-04-27 08:55:00,0.0000,-310.1786,,,81.8182,0.0000,0.3643,294.1709,24.1832,29.1667,6.0637,9.0667,10.3734,15.9152,15.9152,15.9152,5.7418,19.3207,15.5539,11.0965,76.7113,19.8181,13.4633,20.6440,33.3333,-181.4919,-0.3359,23.6412,84.1564,21.1245,-0.3359,46.0079,21.3137,43.5074,21.2829,44.3771,21.1357,20.6301,0.0213,27.1095,19.9072,20.6441,28.7512,-0.0376,68.2756,20.9588,-108.4482,1.7741,20.4907,102.2261,32.0000,31.5000,30.1953,750.2753,1.0235,0.5020,5.6032,2.9952,18.9584,9.7362,1.6756,0.6979,1.8966,0.5312,7.2201,3.7578,6.4895,3.5057,1.1351,0.9013,-9604.4558,-9999.0000,20.0442,20.8584,21.0145,20.7607,21.4479,21.6707,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 08:56:00,0.0167,-329.8214,-19.6429,-19.6429,81.8263,0.0000,1.4228,279.6949,25.8684,175.0000,34.0534,34.0000,46.8556,85.0000,85.0000,85.0000,4.0392,14.7979,11.8895,8.6513,77.4732,15.8345,24.0148,29.5586,100.0000,97.5530,-0.3359,23.5840,70.9656,20.8643,-0.3359,45.9788,21.3114,43.8397,21.0581,44.3165,21.1260,20.6135,0.0177,27.0867,74.9922,34.9922,28.7427,0.0035,67.9008,20.9680,-99.9322,1.2764,23.4879,102.2194,32.0000,31.5000,30.1953,750.1905,1.2620,0.5215,21.2485,13.8420,71.4421,44.2889,5.4639,1.5298,5.8382,1.6695,21.1692,12.6077,20.1291,12.1606,1.4195,1.1787,-5689.8314,-9999.0000,17.0116,20.2805,21.1540,28.7209,21.7779,22.2656,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 08:57:00,0.0333,-322.5000,7.3214,-6.1607,81.8233,544.2856,1.3654,280.2636,27.0805,121.6667,34.0547,34.0000,38.3113,85.0000,85.0000,85.0000,4.7840,17.5936,12.3476,8.9205,81.1595,15.5687,27.4230,47.2366,100.0000,217.2318,-0.3256,23.6310,68.2707,20.7871,-0.3359,45.9536,21.2965,43.8288,21.1715,44.4963,21.0433,20.6400,0.0198,27.0397,74.9922,34.9922,28.7376,0.0344,67.6162,20.9860,-93.6668,1.4691,34.9348,102.2189,32.0000,31.5000,30.1953,750.3168,1.2154,0.5173,21.1547,13.7789,68.7098,43.6745,5.9937,1.5988,6.4588,1.7416,20.9028,12.4469,19.9509,12.0045,1.4189,1.1720,-5916.6248,-9999.0000,17.7971,20.2032,21.3005,53.8292,21.5714,22.0458,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 08:58:00,0.0500,-317.8182,4.6818,-2.5465,81.8213,164.8714,1.1822,283.3282,27.8241,80.0000,28.0427,24.9333,29.1626,85.0000,85.0000,85.0000,4.1207,20.2329,13.4631,9.6068,78.8903,17.1625,27.5350,61.5702,100.0000,217.3773,-0.3359,23.7867,66.7477,20.8040,-0.3359,45.9557,21.2858,43.5671,21.3199,44.3899,21.1195,20.6518,0.0192,26.9999,74.9922,34.9922,28.7495,0.0344,67.3525,21.0151,-87.4531,1.7944,49.0340,102.2235,32.0000,31.5000,30.1953,750.1769,1.2323,0.5210,21.1663,13.7816,69.1653,43.6640,5.5155,1.5398,5.9271,1.6757,20.7175,12.3445,19.6907,11.9019,1.4192,1.1775,-7316.4310,-9999.0000,19.3369,20.2209,21.1855,76.3191,21.3360,21.7174,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 08:59:00,0.0667,-313.9286,3.8896,-0.9375,81.8197,101.0491,0.9963,288.9897,27.9958,66.6667,-23.0168,-26.0667,19.5679,85.0000,85.0000,85.0000,3.9275,24.2784,15.3534,10.8813,76.4820,19.6076,26.5283,73.2497,100.0000,229.4625,-0.3359,23.9188,65.4964,20.8212,-0.3359,45.9564,21.2780,43.3776,21.3984,44.4340,21.0611,20.6470,0.0172,26.9846,74.9922,34.9922,28.7478,0.0035,67.1807,21.0499,-82.3135,1.4594,61.7699,102.2238,32.0000,31.5000,30.8620,750.3476,1.2777,0.5281,21.2953,13.8459,69.3940,43.9322,4.7209,1.2643,5.5887,1.5155,20.5802,12.3143,19.5338,11.8754,1.4206,1.1762,-7161.5442,-9999.0000,21.5780,20.2667,21.1107,93.8763,21.0316,21.5040,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 09:00:00,0.0833,-311.7857,2.1429,-0.3214,81.8188,74.8915,1.3102,285.2189,28.7885,100.0000,-34.0625,-34.0000,25.4793,85.0000,85.0000,85.0000,4.0698,26.1600,16.9570,12.0703,70.0369,22.7109,26.9254,84.0522,100.0000,-165.7523,-0.3256,24.0259,64.5068,20.8284,-0.3359,45.9506,21.2742,43.1613,21.5008,44.4275,21.0808,20.6281,0.0120,26.9913,74.9922,34.9922,28.7461,0.0755,67.1221,21.0819,-81.6134,1.3368,73.1210,102.2190,32.0000,31.3333,31.1953,750.4855,1.2766,0.5313,21.2695,13.8303,68.6115,43.7111,5.9779,1.5678,6.6067,1.8646,20.5912,12.2668,19.5773,11.8272,1.4162,1.1688,-5979.5483,-9999.0000,23.9540,20.3826,21.0992,107.5200,20.9814,21.3635,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 09:01:00,0.1000,-310.1786,1.6071,0.0000,81.8182,4.4007,1.3202,283.8398,29.4858,100.0000,-34.0625,-34.0000,23.4261,85.0000,85.0000,85.0000,4.0697,28.7974,18.3993,13.2417,64.9403,25.4861,26.4570,94.1844,100.0000,-218.9112,-0.3256,24.1857,63.7152,20.8685,-0.3359,45.9503,21.2732,42.9064,21.6148,44.2114,21.1885,20.6569,0.0156,27.0065,18.6462,34.9922,28.7478,0.0652,67.1292,21.1231,-76.0500,1.5809,82.5931,102.2272,32.0000,31.5000,31.1953,750.6453,1.3262,0.5388,21.2538,13.8494,69.5361,44.0275,5.3160,1.4560,5.9175,1.5155,6.7824,3.6220,5.9268,3.3916,1.4194,1.1720,-6336.9526,-9999.0000,26.1542,20.5612,21.1003,117.0101,20.9048,21.2688,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 09:02:00,0.1167,-299.1071,11.0714,1.5816,81.8136,0.0000,0.8513,286.4184,29.7112,42.5000,-5.1732,1.1333,14.6029,85.0000,85.0000,85.0000,4.5186,30.3710,19.4998,14.2124,61.6598,27.5251,26.4264,104.2809,100.0000,-166.6346,-0.3359,24.3273,63.1089,20.8521,-0.3359,45.9360,21.2751,42.7126,21.6831,44.2783,21.0931,20.6281,0.0140,27.0394,0.0000,34.9922,28.7529,0.0961,67.1692,21.1668,-72.0542,1.8656,85.7673,102.2258,32.0000,31.5000,31.1953,750.6820,1.3035,0.5398,21.1412,13.8450,67.1145,43.4924,6.1508,1.6530,6.5111,1.7243,1.1478,0.4066,0.3718,0.2555,1.3961,1.1621,-6666.0000,-9999.0000,28.0283,20.6429,21.1092,114.3495,20.6794,21.1937,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 09:03:00,0.1333,-300.0000,-0.8929,1.2723,81.8140,0.0299,1.3152,283.1195,30.2422,100.0000,34.0531,34.0000,23.7486,85.0000,85.0000,85.0000,5.0192,31.1918,19.1335,13.8733,56.7451,28.5641,26.1208,114.4958,100.0000,-243.1199,-0.3359,24.4277,62.6661,20.8686,-0.3359,45.9305,21.2805,42.5161,21.7711,44.3654,21.0629,20.6568,0.0172,27.0660,0.7168,34.9922,28.7580,-0.0273,67.2352,21.2082,-68.9932,1.8553,82.0536,102.2258,32.0000,31.5000,31.1953,750.6486,1.3400,0.5497,21.2162,13.8345,68.6245,43.7885,5.9451,1.5426,6.6425,1.7067,3.5165,0.7403,2.8049,0.5932,1.3908,1.1590,-7155.8677,-9999.0000,28.6245,20.7695,21.1208,100.7720,20.6919,21.1283,0.0383,2.4503,0.1136,0.0795,0.4175,
2026-04-27 09:04:00,0.1500,-300.0000,0.0000,1.1310,81.8140,42.4891,1.3007,282.2954,30.5927,100.0000,34.0547,34.0000,22.5641,85.0000,85.0000,85.0000,4.1311,29.8130,18.9853,13.7424,59.8591,27.4847,27.2611,123.6611,100.0000,-101.1454,-0.3359,24.5808,62.2766,20.9341,-0.3359,45.9236,21.2845,42.4203,21.8000,44.1354,21.2418,20.6540,0.0130,27.1063,54.5240,34.9922,28.7478,0.0241,67.2866,21.2583,-66.6379,1.9061,76.2646,102.2224,32.0000,31.5000,31.1953,750.7997,1.3700,0.5602,21.0901,13.7823,68.1295,43.5812,5.9810,1.6957,6.1345,1.6672,21.0237,10.2521,19.9163,9.8824,1.3885,1.1559,-6130.0354,-9999.0000,27.8517,20.7588,21.0944,88.8960,20.8734,21.1057,0.0383,2.4503,0.1136,0.0795,0.4175,
