time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,condenser_out__airflow,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7
2026-05-06 07:49:00,0.0000,10.0000,,,82.7273,1.2852,283.1663,25.1573,82.5000,20.8082,22.4000,33.9186,73.2484,73.2484,73.2484,22.2647,17.9189,14.6069,10.3726,74.4553,19.3046,87.5197,31.5698,98.3333,248.9730,-0.3256,22.4061,76.2859,20.2999,-0.3359,50.4692,20.9819,50.4904,20.5232,50.0457,20.9320,20.4014,-0.0474,26.8180,68.6521,34.9922,28.7529,-0.0582,69.3006,20.4947,-115.2352,124.8103,23.0608,102.5965,30.0000,34.0000,29.1953,750.7180,1.3639,0.6410,19.5447,12.0075,62.0230,37.8906,4.4638,1.5165,5.1147,1.5379,20.3814,11.7037,19.4560,11.2809,1.4706,1.2111,26.1645,24.0937,18.3055,20.9645,20.5032,23.6681,21.3781,21.3883
2026-05-06 07:50:00,0.0167,5.8929,-4.1071,-4.1071,82.7289,1.3874,281.5574,26.6005,100.0000,24.0305,24.0000,31.5634,85.0000,85.0000,85.0000,27.2302,18.4970,14.7644,10.4749,82.1777,17.8524,90.6194,47.6717,100.0000,248.3556,-0.3359,22.6750,72.0862,20.1895,-0.3359,50.5260,20.9588,50.9326,20.3561,50.6707,20.6169,20.4771,-0.0526,26.8163,74.9922,34.9922,28.7512,-0.0582,68.5010,20.5456,-101.4688,132.1732,30.2685,102.5990,29.8333,32.8333,29.3620,750.7624,1.4429,0.6472,21.0929,13.6834,68.1241,43.3466,5.0224,1.4380,5.4674,1.5731,20.8066,12.3805,19.7770,11.9476,1.4392,1.1938,28.4309,23.5439,18.6718,20.7426,20.5112,41.8622,21.1656,21.5545
2026-05-06 07:51:00,0.0333,0.0000,-5.8929,-5.0000,82.7312,1.3692,281.7080,27.5073,99.1667,24.0285,24.0000,26.7931,85.0000,85.0000,85.0000,22.3059,24.4833,17.0668,12.1612,76.4992,21.4009,92.3697,62.0926,100.0000,247.6779,-0.3359,22.6987,70.6842,20.2141,-0.3359,50.5343,20.9276,50.9288,20.4852,51.0110,20.6082,20.5104,-0.0515,26.7434,74.9922,34.9922,28.7546,-0.0068,67.9786,20.5745,-92.0069,131.9193,42.4967,102.5965,29.0000,32.5000,30.1953,750.6730,1.4679,0.6506,21.0818,13.6708,68.0598,43.2770,4.7482,1.4088,5.4540,1.5651,20.5707,12.2481,19.5720,11.8194,1.4405,1.1903,31.8541,22.6220,23.3086,20.7273,20.6336,63.3999,21.0157,21.2791
2026-05-06 07:52:00,0.0500,-4.8214,-4.8214,-4.9405,82.7331,0.8038,285.4501,27.6190,30.8333,-5.4128,-8.8000,14.4118,85.0000,85.0000,85.0000,19.9142,30.0262,18.0473,12.9454,61.4116,26.1023,93.2443,73.4536,100.0000,247.3947,-0.3359,22.8917,69.6710,20.2458,-0.3359,50.5473,20.9043,50.3105,20.7781,51.0499,20.5887,20.5100,-0.0510,26.7106,74.9922,34.9922,28.7495,-0.0685,67.5686,20.6007,-85.1230,126.2415,54.3346,102.5985,29.1667,32.5000,30.1953,750.8713,1.4460,0.6539,20.9592,13.6574,66.4505,42.9957,4.8844,1.3999,5.4451,1.5282,20.4840,12.2022,19.4613,11.7788,1.4195,1.1998,36.1245,21.7779,27.2927,20.6779,20.7151,79.6683,20.7182,21.0312
2026-05-06 07:53:00,0.0667,-7.6786,-2.8571,-4.4196,82.7342,1.3615,282.8132,28.3999,40.0000,-24.0375,-24.0000,22.4957,85.0000,85.0000,85.0000,16.6384,29.3646,17.9574,12.8695,52.2447,28.7170,93.6409,84.7776,100.0000,248.4365,-0.3359,23.0586,68.8203,20.2902,-0.3359,50.5669,20.8879,49.9262,20.9279,51.0976,20.5862,20.5128,-0.0510,26.6922,74.9922,34.9922,28.7427,0.0344,67.4102,20.6305,-79.7517,128.4187,65.4721,102.5992,29.3333,32.0000,30.1953,750.9154,1.4635,0.6592,21.0131,13.6263,66.7127,42.9758,5.1627,1.4827,5.6056,1.5985,20.2928,12.1035,19.3388,11.6708,1.4623,1.2068,41.5275,21.1718,28.1232,20.5569,20.6359,91.7719,20.5533,20.9055
2026-05-06 07:54:00,0.0833,11.6071,19.2857,0.3214,82.7266,1.3532,286.0225,29.0517,17.5000,-24.0363,-24.0000,20.6457,85.0000,85.0000,85.0000,16.9333,31.8600,19.0984,13.8417,48.1073,31.4136,93.6616,94.3060,100.0000,249.0034,-0.3359,23.1562,68.2109,20.3475,-0.3359,50.5915,20.8922,49.6997,21.0559,51.1072,20.5896,20.5125,-0.0479,26.6879,74.9922,34.9922,28.7478,-0.1199,67.1793,20.6611,-76.5092,117.6132,75.3139,102.6011,29.6667,31.5000,30.1953,751.0033,1.4925,0.6626,21.0398,13.6305,67.2745,43.0277,5.0690,1.4389,5.5479,1.5674,19.9175,12.0483,18.9665,11.6309,1.4512,1.1976,47.3386,20.8355,30.4728,20.5276,20.6867,100.3851,20.4109,20.8140
2026-05-06 07:55:00,0.1000,6.9643,-4.6429,-0.5060,82.7285,0.9231,288.7590,29.3845,0.8333,-15.3842,-13.6000,13.9958,85.0000,85.0000,85.0000,17.1165,34.1758,20.0790,14.7331,43.3955,34.3125,95.4012,103.8566,100.0000,249.3872,-0.3359,23.2359,67.5570,20.3688,-0.3359,50.5971,20.8997,49.2674,21.2070,51.0722,20.5654,20.5221,-0.0505,26.6826,9.8971,34.9922,28.7427,-0.0376,66.7457,20.6850,-74.2023,118.3967,82.9397,102.5978,29.5000,31.5000,30.6953,750.9888,1.4550,0.6624,21.0070,13.6665,66.2993,42.9481,4.8649,1.4359,5.8611,1.6177,4.2952,2.2006,3.4374,1.9007,1.4083,1.1930,53.7794,20.7705,32.6916,20.4729,20.7409,104.8774,20.2969,20.7421
2026-05-06 07:56:00,0.1167,8.5714,1.6071,-0.2041,82.7278,1.2299,285.4547,29.4737,20.0000,20.6405,22.4000,19.4964,85.0000,85.0000,85.0000,17.8690,38.2216,20.6643,15.2845,38.3965,37.2105,93.9160,113.4363,100.0000,250.0502,-0.3359,23.3847,67.1119,20.3823,-0.3359,50.5943,20.9111,48.8677,21.3728,51.0840,20.5587,20.5269,-0.0562,26.6973,0.0000,34.9922,28.7461,-0.0068,66.4221,20.7124,-71.8466,120.2587,83.5099,102.6017,29.0000,31.6667,31.1953,751.0501,1.4589,0.6674,21.1788,13.6738,68.2790,43.3974,4.4972,1.2737,5.8056,1.7531,1.2321,0.4665,0.3282,0.1765,1.4314,1.1885,60.3984,20.8273,35.4580,20.4742,20.8692,98.4971,20.2206,20.6237
2026-05-06 07:57:00,0.1333,10.0000,1.4286,-0.0000,82.7273,1.3552,280.7635,30.1624,5.0000,24.0262,24.0000,20.9289,85.0000,85.0000,85.0000,18.5912,37.2279,20.4616,15.0914,38.5226,36.8990,94.1092,122.0383,100.0000,250.1297,-0.3359,23.4017,66.8081,20.4189,-0.3359,50.5979,20.9235,48.5079,21.4562,51.1469,20.5664,20.5125,-0.0500,26.6928,39.3730,34.9922,28.7444,-0.0479,66.1490,20.7314,-69.7552,123.5147,77.3572,102.5983,29.0000,31.5000,31.1953,751.0346,1.4768,0.6749,21.0218,13.6587,67.2222,43.1114,5.4748,1.4491,5.8249,1.5636,17.7025,7.8608,16.8108,7.5512,1.4201,1.1863,66.9791,20.7753,34.7286,20.4359,20.8566,85.3013,20.2182,20.6340
2026-05-06 07:58:00,0.1500,10.0000,0.0000,-0.0000,82.7273,1.3482,280.1709,30.6159,0.8333,24.0281,24.0000,19.7728,85.0000,85.0000,85.0000,20.2700,36.3734,20.7610,15.3831,42.0709,35.6345,94.5570,130.0874,100.0000,250.0952,-0.3359,23.5156,66.5159,20.4572,-0.3359,50.5936,20.9296,48.3880,21.4727,51.1272,20.6042,20.5100,-0.0505,26.7003,74.9922,34.9922,28.7478,-0.0685,65.9035,20.7508,-68.4139,123.2602,73.4964,102.5961,29.0000,31.5000,31.1953,751.1287,1.4842,0.6796,20.9551,13.5971,67.0415,42.9045,5.2586,1.4512,5.8141,1.5555,20.4898,12.2059,19.5083,11.7800,1.4349,1.1864,73.4273,20.8517,34.0984,20.4980,20.8705,82.2429,20.2346,20.5839
