time,elapsed_hr,mass_g,dry_rate_g_min,dry_rate_smooth_g_min,predicted_mc_pct,estimated_airflow_cfm,d201_motor_current,d201_motor_dc_bus_voltage,d201_motor_igbt_temperature,d201_motor_power,d201_motor_speed,d201_motor_speed_setpoint,d201_motor_torque_percent,d202_oil_heater_controller_pwm_1,d202_oil_heater_controller_pwm_2,d202_oil_heater_controller_pwm_3,d204_process_vessel_inlet_gauge_pressure,d205_process_vessel_outlet_temperature_1,d206_process_vessel_outlet_dew_point,d206_process_vessel_outlet_mixing_ratio,d206_process_vessel_outlet_relative_humidity,d206_process_vessel_outlet_temperature_2,d207_process_vessel_outlet_gauge_pressure,d208_jacket_oil_temperature,d301_cooling_fan_controller_pwm,d302_condenser_inlet_temperature,d303_condenser_inlet_gauge_pressure,d304_condenser_outlet_temperature_1,d305_condenser_outlet_relative_humidity,d305_condenser_outlet_temperature_2,d306_condenser_outlet_gauge_pressure,d307_ambient_relative_humidity,d307_ambient_temperature,d308_cooling_air_inlet_relative_humidity,d308_cooling_air_inlet_temperature,d309_cooling_air_outlet_relative_humidity,d309_cooling_air_outlet_temperature,d310_condensate_temperature,d311_condensate_drum_inlet_flow,d311_condensate_drum_inlet_temperature,d401_air_heater_controller_pwm,d402_blower_fan_controller_setpoint,d403_blower_fan_inlet_temperature_1,d404_blower_fan_inlet_gauge_pressure,d405_blower_inlet_relative_humidity,d405_blower_inlet_temperature_2,d406_system_airflow,d407_air_heater_outlet_gauge_pressure,d408_air_heater_outlet_temperature,d409_barometric_pressure_kpa,internal_chip_temperature__lb1_air_handler,internal_chip_temperature__lb1_condenser,internal_chip_temperature__lb1_process_vessel,current__ch0_peak,current__ch0_rms,current__ch1_peak,current__ch1_rms,current__ch2_peak,current__ch2_rms,current__ch3_peak,current__ch3_rms,current__ch4_peak,current__ch4_rms,current__ch5_peak,current__ch5_rms,current__ch6_peak,current__ch6_rms,current__ch7_peak,current__ch7_rms,thermocouples__ch0,thermocouples__ch1,thermocouples__ch2,thermocouples__ch3,thermocouples__ch4,thermocouples__ch5,thermocouples__ch6,thermocouples__ch7,motor_kwh,oil_kwh,cooling_kwh,blower_kwh,air_kwh,total_kwh_per_kg
2026-05-27 08:02:00,0.0000,3.5714,,,73.0000,-0.0000,0.0000,298.0397,24.0925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2650,21.9882,19.1122,13.8535,86.1535,21.5282,-2.1235,31.9799,0.0000,166.6896,-0.3359,22.1530,88.8247,20.3350,-0.3359,47.2792,20.8074,48.1393,20.3065,46.9995,20.9064,20.0411,0.0073,27.2436,0.0000,0.0000,28.7393,-0.0582,69.5406,20.1764,-107.1639,-108.8581,22.7086,101.3607,30.0000,34.3333,28.3620,0.9593,0.5002,0.1535,0.0941,0.8329,0.3159,0.6425,0.5974,0.7188,0.3190,0.7252,0.3239,0.3135,0.2539,0.4653,0.4097,29.9662,27.3034,20.2917,20.4829,20.1404,20.9780,21.1779,21.1220,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:03:00,0.0167,21.9643,18.3929,18.3929,72.9901,0.0000,1.1462,290.0188,25.1336,92.5000,17.2754,18.8000,40.1117,54.3678,54.3678,54.3678,34.5971,17.2475,14.1828,10.2154,73.7717,19.0603,103.6973,32.5397,83.3333,164.0852,-0.3359,22.3332,79.3701,20.2249,-0.3359,47.4333,20.8408,48.8324,20.3451,47.6122,20.8728,20.1035,0.0120,27.1357,74.0811,38.9401,28.7478,-0.0376,68.5725,20.2631,-94.6018,35.9197,22.4150,101.3529,30.0000,33.5000,29.0286,1.2660,0.5224,16.3543,9.4992,54.7028,30.6179,3.3631,1.1348,3.8908,1.1663,17.6030,11.2224,16.3161,10.7346,1.6899,1.2741,29.9374,27.3311,17.3210,20.6639,20.2734,22.4682,21.2205,21.3096,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:04:00,0.0333,27.1429,5.1786,11.7857,72.9873,,1.4532,282.4101,26.6982,100.8333,24.0262,24.0000,46.6219,74.9922,74.9922,74.9922,47.1018,16.6957,14.4267,10.2498,87.0567,16.5999,117.2568,46.7405,100.0000,163.8891,-0.3359,22.7664,72.9258,20.1476,-0.3359,47.5287,20.8500,49.9234,20.1957,48.8119,20.6228,20.1647,0.0073,27.1150,100.0000,43.0078,28.7529,-0.0171,67.3222,20.3544,-85.3388,50.9271,29.7604,101.3522,30.0000,33.1667,29.1953,1.3554,0.5296,21.1704,12.8929,70.5623,41.4783,4.2226,1.2717,5.2300,1.3926,20.7798,14.2905,19.4179,13.6941,1.6624,1.3665,31.7545,27.2779,16.8301,20.3994,20.3710,41.7712,21.0894,21.4368,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:05:00,0.0500,28.9286,1.7857,8.4524,72.9863,334.0533,1.4370,280.9464,27.6325,100.0000,24.0277,24.0000,43.6813,74.9922,74.9922,74.9922,34.1691,25.2773,16.9256,12.0446,80.0694,20.5536,124.9801,60.3706,100.0000,158.8809,-0.3256,23.0482,71.1055,20.2292,-0.3359,47.6720,20.8424,50.2290,20.4193,49.5719,20.5983,20.2620,0.0083,27.1379,100.0000,43.0078,28.7478,-0.0376,66.5696,20.4258,-78.3066,46.3380,43.9465,101.3538,30.0000,33.1667,29.3620,1.3050,0.5242,21.0478,12.8836,68.7036,41.0308,5.1341,1.5128,5.5117,1.5761,20.6956,14.1457,19.3774,13.5503,1.6473,1.3825,34.8828,26.8853,21.7638,20.3686,20.5984,68.4882,20.8948,21.2136,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:06:00,0.0667,18.7500,-10.1786,3.7946,72.9918,173.3589,0.8374,284.5048,27.8496,44.1667,1.7613,-1.6000,23.2832,74.9922,74.9922,74.9922,29.2346,32.3397,19.6811,14.3751,72.5534,25.0153,131.8986,71.3017,100.0000,166.8227,-0.3359,23.3307,70.0960,20.3353,-0.3359,47.8089,20.8527,49.7462,20.8734,49.9034,20.6742,20.2978,0.0088,27.1827,100.0000,43.0078,28.7444,0.0035,65.9738,20.4919,-73.1324,38.4934,57.8273,101.3513,30.0000,32.6667,30.1953,1.3195,0.5278,20.9466,12.8738,66.2628,40.4752,5.5696,1.5551,5.8758,1.5959,20.5447,14.0455,19.2757,13.4560,1.6267,1.3803,38.6228,26.4898,28.0554,20.5255,20.9012,89.1681,20.7333,21.1010,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:07:00,0.0833,84.2857,65.5357,16.1429,72.9563,118.8158,1.4427,279.8990,28.5603,100.0000,-24.0348,-24.0000,45.0088,74.9922,74.9922,74.9922,33.0302,33.5960,20.0651,14.7173,56.0903,29.7733,126.5263,82.3139,100.0000,170.0794,-0.3359,23.5948,69.1798,20.3920,-0.3359,47.9144,20.8808,49.0506,21.3072,50.1248,20.7518,20.3633,0.0031,27.2611,100.0000,43.0078,28.7546,-0.0273,65.4871,20.5577,-69.4368,31.0656,70.9089,101.3509,30.0000,33.0000,30.1953,1.3047,0.5342,21.0173,12.8475,68.2468,40.8486,5.4520,1.5521,5.8793,1.6416,20.4072,13.9573,19.1335,13.3670,1.6678,1.3765,43.6649,26.1256,30.2532,20.6505,21.0735,103.9133,20.6229,21.0334,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:08:00,0.1000,82.6786,-1.6071,13.1845,72.9572,91.6383,1.4294,280.4011,29.3138,100.0000,-24.0359,-24.0000,42.6042,74.9922,74.9922,74.9922,34.4949,40.1698,21.8761,16.5066,47.5387,34.7214,127.8691,91.5090,99.5539,165.2816,-0.3359,23.7389,68.2503,20.4714,-0.3359,48.0180,20.9272,48.6751,21.5567,50.2476,20.8361,20.4111,0.0037,27.3272,100.0000,43.0078,28.7495,0.1269,65.0601,20.6314,-66.7626,25.0122,83.3355,101.3525,30.0000,32.5000,30.1953,1.3148,0.5398,21.1409,12.8774,68.9012,41.0170,5.1069,1.3963,6.0984,1.7300,20.2602,13.9427,19.0075,13.3501,1.6593,1.3662,49.1943,25.7983,34.7521,20.7676,21.3401,115.2969,20.6260,21.0530,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:09:00,0.1167,68.7500,-13.9286,9.3112,72.9648,74.9629,1.1840,281.2511,29.8664,77.5000,-18.9919,-17.2000,33.6044,74.9922,74.9922,74.9922,32.4801,46.4163,23.6109,18.3886,36.4818,41.5230,124.0539,100.0240,90.7324,165.5972,-0.3359,24.0018,67.3937,20.5745,-0.3359,48.0862,20.9849,47.6013,22.1225,49.9926,20.9879,20.4501,0.0060,27.4083,100.0000,43.0078,28.7427,0.0138,64.6883,20.7069,-65.1744,17.4620,95.3923,101.3487,30.0000,33.5000,31.0286,1.3208,0.5458,20.9940,12.8584,67.1534,40.6266,5.4592,1.4145,6.0343,1.4785,20.3871,13.9219,19.0614,13.3345,1.6229,1.3636,55.1121,25.5146,40.5978,21.0165,21.8159,124.7608,20.7026,21.0638,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:10:00,0.1333,35.8929,-32.8571,4.0402,72.9825,65.4340,1.0600,283.7673,29.6741,68.3333,17.0395,18.8000,27.1748,74.9922,74.9922,74.9922,33.7013,48.1072,25.0737,20.1258,30.6834,46.5229,128.7342,108.4215,100.0000,178.8492,-0.3256,24.2500,66.7396,20.6553,-0.3359,48.1182,21.0551,46.6315,22.5233,49.7265,21.1249,20.5029,0.0047,27.5087,100.0000,43.0078,28.7580,0.0344,64.3445,20.7924,-63.5206,19.5681,105.0435,101.3550,30.0000,33.5000,31.1953,1.3798,0.5512,20.9350,12.8331,67.7558,40.7443,5.2985,1.5048,5.9086,1.5394,20.3336,13.9135,19.0094,13.3216,1.6230,1.3585,61.5454,25.2443,43.3845,21.1604,22.0738,132.1716,20.7460,21.0255,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:11:00,0.1500,50.0000,14.1071,5.1587,72.9749,59.2739,1.4171,284.4053,30.5263,100.0000,24.0277,24.0000,39.5903,74.9922,74.9922,74.9922,30.4454,46.0348,25.6758,20.8738,33.3554,45.5643,130.4746,116.9559,100.0000,181.2266,-0.3359,24.4142,66.0948,20.7381,-0.3359,48.1340,21.1164,45.9964,22.6643,49.5409,21.1613,20.5555,0.0042,27.6103,100.0000,43.0078,28.7427,0.0035,64.0548,20.8815,-62.1425,13.2703,112.9814,101.3518,30.0000,33.5000,31.1953,1.4287,0.5609,20.9634,12.8363,69.8380,41.1212,5.2421,1.4450,5.0245,1.3898,20.4723,13.9089,19.0142,13.3263,1.6183,1.3561,68.1250,25.0084,43.8024,21.2053,22.1105,138.2151,20.7226,21.0911,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:12:00,0.1667,50.0000,0.0000,4.6429,72.9749,54.9966,1.4068,285.4834,31.0470,100.0000,24.0250,24.0000,37.1208,74.9922,74.9922,74.9922,30.6483,48.1642,26.3195,21.7153,30.6025,48.0058,127.1570,124.5518,100.0000,176.9224,-0.3359,24.5645,65.5772,20.8180,-0.3359,48.1517,21.1826,45.4010,22.8852,49.5094,21.1964,20.6221,0.0042,27.7011,100.0000,43.0078,28.7546,0.0241,63.7895,20.9815,-60.8539,3.9707,119.5063,101.3561,30.0000,33.5000,31.1953,1.4410,0.5587,21.0722,12.8569,68.0798,40.8214,5.4037,1.4470,6.3772,1.6309,20.3189,13.9024,19.0208,13.3201,1.6380,1.3542,74.9478,24.8084,46.0438,21.3305,22.3211,143.5256,20.7096,21.1439,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:13:00,0.1833,38.5714,-11.4286,1.6607,72.9811,51.9188,0.8185,288.1923,30.9676,42.5000,2.0505,-1.6000,19.4372,74.9922,74.9922,74.9922,29.4276,51.5034,28.0119,24.0252,28.6138,51.3155,128.7447,131.8034,100.0000,175.0925,-0.3359,24.7360,65.1006,20.9161,-0.3461,48.1607,21.2536,44.7891,23.1348,49.2236,21.3135,20.6891,0.0036,27.7966,100.0000,43.0078,28.7546,-0.0068,63.5392,21.0797,-60.6187,7.1862,124.9178,101.3530,30.0000,33.5000,31.1953,1.3729,0.5666,20.8490,12.8185,66.9069,40.4685,5.3979,1.4512,5.2595,1.4095,20.4427,13.9100,19.0637,13.3245,1.5776,1.3470,81.5448,24.6729,49.2506,21.5127,22.6051,147.5770,20.8191,21.1825,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:14:00,0.2000,50.8929,12.3214,2.3750,72.9744,49.4797,1.3983,287.7849,31.4241,100.0000,-24.0379,-24.0000,35.1356,74.9922,74.9922,74.9922,28.7969,56.1379,28.0352,24.0492,25.3374,53.8367,130.7180,138.2863,100.0000,162.4745,-0.3359,24.9188,64.7478,20.9727,-0.3359,48.1608,21.3227,43.9911,23.4650,48.9633,21.3766,20.7565,0.0036,27.8617,100.0000,43.0078,28.7461,0.0446,63.3372,21.1680,-60.1461,22.1423,129.7128,101.3580,30.0000,33.5000,31.5286,1.4073,0.5685,21.0729,12.8389,68.1296,40.6894,6.0808,1.6570,6.4627,1.7405,20.3756,13.9214,19.0876,13.3332,1.6037,1.3435,87.8231,24.5862,51.7995,21.6187,22.9166,150.7803,20.8238,21.2614,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:15:00,0.2167,60.0000,9.1071,3.1071,72.9695,47.5771,1.3949,288.2679,31.9647,100.0000,-24.0383,-24.0000,34.5288,74.9922,74.9922,74.9922,28.2777,56.9116,28.5671,24.8373,23.8890,55.6882,130.0572,144.6682,100.0000,156.7359,-0.3359,25.0214,64.4118,21.0275,-0.3359,48.1486,21.3960,43.2604,23.7068,48.7713,21.4047,20.8215,0.0026,27.9474,100.0000,43.0078,28.7512,-0.0068,63.1493,21.2605,-59.7521,15.7529,133.7073,101.3586,30.0000,33.5000,32.1953,1.4391,0.5732,21.0510,12.8457,68.0129,40.7124,5.8227,1.5816,6.3858,1.6958,20.3745,13.9160,19.0816,13.3269,1.6075,1.3404,94.2124,24.5351,53.3692,21.6560,23.0487,153.7069,20.8128,21.2941,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:16:00,0.2333,55.3571,-4.6429,3.6607,72.9720,46.1024,1.1662,288.6652,32.2957,77.5000,-19.0970,-17.2000,28.2775,74.9922,74.9922,74.9922,28.3594,55.9725,29.0878,25.6346,25.6920,54.8040,129.9759,150.6840,100.0000,161.7130,-0.3359,25.1280,64.1598,21.0884,-0.3359,48.1292,21.4663,42.8678,23.7872,48.5859,21.4880,20.9085,0.0026,28.0331,100.0000,43.0078,28.7478,0.0344,62.9715,21.3452,-59.6216,-4.3219,136.9874,101.3591,30.0000,33.5000,32.1953,1.3831,0.5779,20.9505,12.8223,67.4730,40.5186,5.8395,1.5502,6.2866,1.6311,20.3513,13.9023,19.0659,13.3179,1.6010,1.3403,100.1899,24.5926,54.3127,21.7833,23.1276,155.6109,20.9195,21.3550,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:17:00,0.2500,46.2500,-9.1071,-3.8036,72.9769,44.9805,1.0415,288.8568,32.0074,67.5000,16.9296,18.8000,24.0723,74.9922,74.9922,74.9922,26.8531,58.5139,30.6946,28.2448,27.1061,55.6216,131.1249,156.1762,100.0000,115.2421,-0.3359,25.2478,63.8594,21.1737,-0.3359,48.0962,21.5337,42.3697,24.0108,48.3098,21.6119,20.9934,0.0042,28.1392,100.0000,43.0078,28.7427,-0.0171,62.8016,21.4444,-59.6741,-11.7898,139.7442,101.3606,30.3333,34.3333,32.1953,1.3352,0.5735,21.0095,12.8354,66.1819,40.3687,6.2197,1.7352,6.8488,1.8669,20.2988,13.9179,19.1092,13.3256,1.5905,1.3332,106.3098,24.7020,57.7197,22.0172,23.4339,158.2224,21.0608,21.3401,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:18:00,0.2667,50.0000,3.7500,-3.2679,72.9749,43.9591,1.3935,286.6361,32.7634,100.0000,24.0277,24.0000,33.8133,74.9922,74.9922,74.9922,27.2096,58.4548,31.3585,29.3889,24.8690,58.2733,129.7618,161.5986,100.0000,-245.7979,-0.3153,25.3240,63.6075,21.2677,-0.3359,48.0712,21.5918,41.8109,24.2273,47.9967,21.7592,21.0608,0.0010,28.2576,100.0000,43.0078,28.7512,-0.0376,62.6467,21.5505,-59.6684,-1.5948,142.1547,101.3612,31.0000,34.5000,32.5286,1.4019,0.5815,20.9365,12.8173,67.0078,40.5109,6.2133,1.6933,6.7001,1.7936,20.3787,13.8936,19.1100,13.3045,1.5948,1.3344,111.9951,24.9199,59.6975,22.1958,23.6031,160.0250,21.1771,21.4339,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:19:00,0.2833,50.0000,0.0000,-1.8750,72.9749,43.3048,1.3831,286.1178,33.1771,100.0000,24.0285,24.0000,31.5690,74.9922,74.9922,74.9922,26.7523,60.8642,32.0355,30.6005,22.7383,61.0037,131.1762,166.7598,100.0000,-248.7128,-0.3359,25.3967,63.3585,21.3189,-0.3359,48.0517,21.6569,41.2071,24.5221,47.7651,21.7935,21.1512,0.0026,28.3522,100.0000,43.0078,28.7512,-0.0273,62.5170,21.6594,-59.6805,2.2413,144.0301,101.3651,31.0000,34.5000,33.0286,1.3535,0.5827,20.9381,12.8091,66.6796,40.4477,6.2307,1.6737,6.4869,1.7168,20.3928,13.9079,19.1481,13.3232,1.5945,1.3336,117.4075,25.2360,61.8450,22.2719,23.9575,161.5703,21.1537,21.4633,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:20:00,0.3000,45.1786,-4.8214,0.9286,72.9775,42.6026,0.8114,285.8959,32.9694,41.6667,2.3063,-0.8000,17.8510,74.9922,74.9922,74.9922,26.0702,63.1391,32.9298,32.2744,22.2699,62.5695,132.4681,171.4086,100.0000,-251.0301,-0.3359,25.4153,63.2171,21.2719,-0.3359,48.0266,21.7173,40.5632,24.7583,47.6352,21.7750,21.1918,0.0021,28.4448,100.0000,43.0078,28.7580,0.0035,62.3959,21.7418,-59.6831,-6.5602,145.9063,101.3675,31.0000,34.5000,33.1953,1.2795,0.5852,20.9486,12.8253,66.8197,40.3567,6.1456,1.6063,6.5867,1.6804,20.3525,13.9061,19.0932,13.3194,1.5661,1.3293,122.3105,25.6511,63.7102,22.3154,24.1541,163.2058,21.1353,21.4813,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:21:00,0.3167,50.0000,4.8214,0.0000,72.9749,42.0026,1.3755,281.8590,33.3732,100.0000,-24.0332,-24.0000,29.2402,74.9922,74.9922,74.9922,27.2708,64.2126,33.3783,33.1428,21.3730,64.0352,131.3286,176.2664,100.0000,-250.4878,-0.3359,25.4340,63.0202,21.2725,-0.3359,47.9899,21.7759,40.0847,24.8858,47.4865,21.7535,21.2615,0.0031,28.5109,100.0000,43.0078,28.7563,0.0755,62.2772,21.8238,-59.4262,-3.6907,147.4786,101.3702,31.0000,34.5000,33.1953,1.4016,0.5937,20.8685,12.8101,67.3613,40.5757,6.1117,1.5158,5.9947,1.5294,20.4246,13.8954,19.0911,13.3083,1.6022,1.3276,127.3522,26.1627,63.9331,22.3506,24.2403,163.9936,21.1300,21.5760,0.0385,2.1656,0.1058,0.0902,0.8698,
2026-05-27 08:22:00,0.3333,50.0000,0.0000,0.0000,72.9749,41.5206,1.3726,281.0158,33.7867,92.5000,-24.0379,-24.0000,28.4259,74.9922,74.9922,74.9922,26.2840,66.1464,33.7717,33.9221,21.5910,64.3003,133.5974,180.8365,100.0000,-251.1094,-0.3359,25.4814,62.9510,21.1630,-0.3359,47.9566,21.8254,39.7463,24.9783,47.4526,21.6940,21.3474,0.0026,28.5483,100.0000,43.0078,28.7681,0.0344,62.1767,21.8731,-58.9991,-0.4350,148.6691,101.3645,31.0000,34.5000,33.1953,1.3487,0.5922,21.0110,12.7895,68.0241,40.6206,5.3230,1.4546,6.3617,1.6187,20.2099,13.8730,18.9733,13.2857,1.5921,1.3293,131.9877,26.8136,64.6082,22.3724,24.4071,164.9884,21.1022,21.5463,0.0405,1.0852,0.1169,0.0910,0.9285,
2026-05-27 08:23:00,0.3500,48.5714,-1.4286,1.0000,72.9757,41.1600,1.1535,282.1954,34.0699,69.1667,-19.2496,-17.6000,23.3586,73.9570,73.9570,73.9570,26.5579,66.0634,34.2195,34.8375,22.1286,64.3068,131.6339,185.2131,100.0000,-250.6395,-0.3359,25.4797,62.8938,21.1189,-0.3359,47.8821,21.8636,39.4528,24.9852,47.3801,21.6378,21.3695,0.0031,28.5854,100.0000,43.0078,28.7563,0.0138,62.0693,21.9100,-58.7871,-0.8214,149.8810,101.3682,30.8333,34.5000,33.1953,1.3420,0.5931,20.9823,12.7254,66.0682,40.0036,6.2810,1.7848,7.0636,1.9813,20.3184,13.8986,19.1132,13.3053,1.5759,1.3286,136.6347,27.5908,65.3261,22.4804,24.3600,165.9619,21.0667,21.4294,0.0405,1.0852,0.1169,0.0910,0.9285,
